area,beta,p,perm_mean,perm_sd,p_adj
Frontal Pole,-4.027585121599057,0.862,-0.16980747179712824,3.5077175676323114,1
Insular Cortex,6.463002665797923,0.068,0.13478147119030687,4.305482950368506,1
Superior Frontal Gyrus,-6.983540670900839,0.983,0.20605132019517172,3.514057434249644,1
Middle Frontal Gyrus,-2.5958855436006827,0.762,0.07163527959698607,3.790266006804659,1
"Inferior Frontal Gyrus, pars triangularis",-4.9001754735469785,0.907,0.4566844715529015,4.094479061761905,1
"Inferior Frontal Gyrus, pars opercularis",-4.55194122400772,0.906,0.8743233298247589,4.251413752980925,1
Precentral Gyrus,-0.686773746176242,0.666,0.8682826831752798,3.4756158446848833,1
Temporal Pole,-5.6975772838657175,0.889,0.5380176921550045,5.155866208102816,1
"Superior Temporal Gyrus, anterior division",20.102252563444768,0.013,4.435514467218911,6.723069727521581,0.533
"Superior Temporal Gyrus, posterior division",22.4856444316995,0.026,6.058613855017462,8.600512221003093,1
"Middle Temporal Gyrus, anterior division",7.352537141411059,0.215,1.960200500658001,6.5299618860615105,1
"Middle Temporal Gyrus, posterior division",8.189664321554936,0.266,3.4158209097917474,8.210270138708657,1
"Middle Temporal Gyrus, temporooccipital part",10.436433026328803,0.091,1.4060348237211389,6.494053334299668,1
"Inferior Temporal Gyrus, anterior division",-10.946912754037958,0.99,-0.15761902002898984,4.768494231370674,1
"Inferior Temporal Gyrus, posterior division",-5.778947994801935,0.899,-0.12450031228663457,4.286023567887366,1
"Inferior Temporal Gyrus, temporooccipital part",-2.395874411916138,0.693,-0.06931267339822138,4.814698568788762,1
Postcentral Gyrus,-0.05713710992961097,0.6,0.804844517829223,3.6453913516999186,1
Superior Parietal Lobule,-3.556348386646068,0.855,0.38479196296923374,3.839908137162051,1
"Supramarginal Gyrus, anterior division",-10.95038776942953,0.996,0.46690708655250157,4.326570902372855,1
"Supramarginal Gyrus, posterior division",-2.268733041275267,0.713,0.07528613296983443,4.299317100051438,1
Angular Gyrus,4.072265611632759,0.195,-0.41223436548711617,5.194860606572437,1
"Lateral Occipital Cortex, superior division",8.086368214108225,0.038,-0.0639069974283899,4.6085695156498305,1
"Lateral Occipital Cortex, inferior division",-7.909916848067601,0.959,0.062357612568870284,4.712880220801784,1
Intracalcarine Cortex,21.729829194863,0,-0.5964328722942723,4.344621650963861,0
Frontal Medial Cortex,16.084324219713498,0,0.2533268382106523,4.395493511756372,0
Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),-3.7968262436408704,0.887,0.43702741546107476,3.5010342147419387,1
Subcallosal Cortex,3.0216305284425973,0.183,-0.12860484072811204,3.4511481340563743,1
Paracingulate Gyrus,-2.914386541424963,0.748,-0.2352528581704553,4.0627311072706265,1
"Cingulate Gyrus, anterior division",7.742645038811308,0.029,-0.5365204524422126,4.377466845277703,1
"Cingulate Gyrus, posterior division",32.05827414421129,0,-0.5915792336086483,5.201381880425654,0
Precuneous Cortex,25.72171443221806,0,-0.3474919544071274,5.673151657408779,0
Cuneal Cortex,21.21921259536283,0,-0.7246652211111382,5.255011536475822,0
Frontal Orbital Cortex,-2.773394462089984,0.698,-0.10387842526735154,4.732725222323391,1
"Parahippocampal Gyrus, anterior division",2.499951944971274,0.244,-0.29268732193274066,3.9683768028659987,1
"Parahippocampal Gyrus, posterior division",19.070775866958265,0,-0.0908536705464517,4.567164266010794,0
Lingual Gyrus,16.9736831057191,0,-0.5398741616374292,4.273520017397369,0
"Temporal Fusiform Cortex, anterior division",-13.987998043573866,0.999,0.2645869186940187,4.25057573707502,1
"Temporal Fusiform Cortex, posterior division",4.546506630546623,0.17,0.482351502685345,4.094151829455119,1
Temporal Occipital Fusiform Cortex,-3.672064153204838,0.791,-0.10557903132245344,4.406151618755091,1
Occipital Fusiform Gyrus,-4.2604822039822,0.782,-0.2940854325015389,4.898221779137394,1
Frontal Operculum Cortex,1.966938412141063,0.272,-0.6303613942154682,4.495036589889858,1
Central Opercular Cortex,1.6579567920615492,0.483,1.585673923493381,4.432124425790397,1
Parietal Operculum Cortex,-0.13057782299866702,0.593,1.1150108380908739,4.631204643065677,1
Planum Polare,12.231597060274467,0.049,3.4785960528523296,5.141553815838648,1
Heschl's Gyrus (includes H1 and H2),20.48501056006683,0.015,4.937868009513286,7.567616147730069,0.6
Planum Temporale,16.7466186634662,0.034,4.632516551877747,6.600856040455967,1
Supracalcarine Cortex,25.57428445524697,0,-0.6104974703866975,4.718721578255168,0
Occipital Pole,2.036307293751369,0.302,-0.06533722578665975,4.092512180103256,1
Hippocampus,5.500317659402196,0.115,0.030817618339760548,4.3845555844548665,1
